b3,b4,b5,b6,b7,b8,b8a,b9,b11,b12,Cigreen,CIrededge,PSND,mARI,NDWI,NDVI,GNDVI,VH,VV,VV/VH,Yield (t/ha)
0.035821144,0.015864428,0.060679416,0.311043222,0.459115236,0.486698507,0.481042848,0.483545583,0.113069403,0.050468097,12.82400626,0.060019306,0.938025192,5.719452251,0.623923239,0.936645356,0.863387448,-23.39132131,-17.07478596,0.729962439,10.24
0.050517143,0.021571429,0.086885713,0.325645712,0.408459999,0.423311429,0.419257144,0.393339998,0.120139999,0.057905715,7.47871012,0.03640034,0.91102775,3.56569549,0.556960642,0.902196901,0.785651514,-18.81214681,-16.63180403,0.884099204,5.02
0.047374194,0.017322581,0.080845162,0.369458065,0.493051614,0.521690317,0.505890321,0.506590319,0.137383871,0.059235484,10.03061651,0.059210058,0.935642846,4.562470021,0.583092138,0.935665794,0.833401916,-16.90193776,-16.15184195,0.955620721,7.38
0.027941026,0.011869231,0.055712821,0.285653844,0.407115385,0.42875128,0.419848722,0.379571794,0.111241026,0.049079487,14.44453178,0.053855005,0.949852655,7.607791277,0.587204333,0.945663133,0.87701331,-21.62771704,-17.26907811,0.798469763,7.61
0.031667273,0.011897273,0.054085454,0.296561819,0.421966363,0.453633635,0.449094544,0.43277909,0.112498182,0.050394545,13.35407435,0.074935953,0.94655831,5.902442559,0.60266393,0.948816541,0.869442702,-20.58784618,-16.40632606,0.796893755,8.35
0.020780111,0.006604972,0.039790055,0.264419336,0.42844917,0.454581215,0.445191159,0.419744754,0.080025414,0.036874033,20.99512951,0.061523952,0.972221185,10.37523652,0.70063095,0.971253726,0.91257564,-23.54759203,-17.11329086,0.726753328,10.83
0.036886667,0.013893333,0.062580001,0.340980001,0.516053337,0.541233333,0.530326653,0.429080004,0.130606667,0.06102,13.67557958,0.049146612,0.949009605,6.017640368,0.610848622,0.949761025,0.87222776,-22.56331787,-18.21502187,0.807284725,9.7
0.019222917,0.007777083,0.036341667,0.259942709,0.456736457,0.362840909,0.354734544,0.339048182,0.080544545,0.039056364,14.78678363,0.061109498,0.947243246,6.799932883,0.63649621,0.947764927,0.880214781,-24.43723379,-19.95448958,0.816560899,6.03
0.023072727,0.009700909,0.040616364,0.233584545,0.341986364,0.462039583,0.451823613,0.433202086,0.115804861,0.052864583,11.06665705,0.062659701,0.926593517,4.739998751,0.598963168,0.928386241,0.845512459,-23.38112455,-18.67060584,0.79853327,7.86
