b3,b4,b5,b6,b7,b8,b8a,b9,b11,b12,Cigreen,CIrededge,PSND,mARI,NDWI,NDVI,GNDVI,VH,VV,VV/VH,Yield (t/ha)
0.18,0.16,0.24,0.51,0.59,0.62,0.60,0.55,0.16,0.09,2.36,0.04,0.85,0.82,0.59,0.59,0.54,-19.65,-14.31,0.73,4.161
0.17,0.15,0.22,0.44,0.50,0.52,0.50,0.49,0.16,0.09,2.11,0.04,0.82,0.80,0.52,0.56,0.51,-15.73,-11.00,0.70,3.195
0.10,0.07,0.14,0.44,0.54,0.57,0.55,0.52,0.13,0.06,4.84,0.05,0.88,1.90,0.63,0.78,0.71,-16.07,-10.48,0.65,3.22
0.17,0.14,0.22,0.48,0.57,0.59,0.57,0.53,0.15,0.08,2.56,0.04,0.85,0.90,0.59,0.61,0.56,-15.32,-11.48,0.75,4.621
0.14,0.12,0.19,0.47,0.55,0.58,0.56,0.49,0.14,0.07,3.11,0.04,0.86,1.10,0.61,0.67,0.61,-15.78,-10.81,0.68,3.517
0.14,0.12,0.19,0.47,0.57,0.60,0.58,0.47,0.15,0.08,3.15,0.05,0.87,1.07,0.61,0.66,0.61,-17.24,-12.04,0.70,4.517
0.15,0.13,0.20,0.45,0.52,0.54,0.53,0.51,0.15,0.08,2.69,0.03,0.84,1.04,0.56,0.62,0.57,-14.41,-10.37,0.72,3.631
0.16,0.13,0.21,0.46,0.53,0.55,0.54,0.51,0.15,0.08,2.51,0.03,0.84,0.88,0.56,0.61,0.56,-15.53,-10.35,0.67,4.436
0.17,0.14,0.23,0.48,0.57,0.59,0.57,0.56,0.16,0.08,2.53,0.04,0.85,0.91,0.58,0.61,0.56,-15.63,-9.69,0.62,4.664
